Designator,Mid X,Mid Y,Layer,Rotation
C3,22.39,32.67,bottom,180
C4,23.604438,23.865562,bottom,180
C6,22.43,26.33,bottom,180
C7,20.91,28.11,bottom,-90
C8,19.14,27.28,bottom,180
C9,22.81,27.46,bottom,180
C10,25.28,27.38,bottom,90
C11,23.63,24.92,bottom,180
C12,26.12,25.92,bottom,180
R8,18.98,24.64,bottom,180
BNC1,77.495,22,top,-90
BNC2,77.479967,45.7,top,-90
C1,34.3,30.25,top,90
C2,24.09,18.35,top,90
C5,17.68,39.76,top,180
C13,29.514375,6.105,top,180
C14,7.45,12.445,top,90
C15,22.534375,6.325,top,90
C16,5.12,19.65,top,-90
C17,7.42,17.17,top,-90
C18,29.514375,8.725,top,180
C19,29.574375,2.035,top,180
C20,26.494375,10.145,top,90
C21,41.59,26.01,top,-90
C22,42.94,26.01,top,-90
C23,45.9,23.09,top,90
C24,52.19,22.15,top,90
C25,70.43,22,top,180
C26,52.2,12.02,top,-90
C27,45.87,20.45,top,180
C28,58,13.8,top,0
C29,45.57,15.28,top,0
C30,38.84,15.44,top,90
C31,61.88,15.84,top,-90
C32,42.2,17.57,top,-90
C33,31.41,22.76,top,-90
C34,52.174967,45.85,top,90
C35,70.414967,45.7,top,180
C36,52.184967,35.72,top,-90
C37,45.854967,44.15,top,180
C38,57.984967,37.5,top,0
C39,45.554967,38.98,top,0
C40,38.75,34.14,top,180
C41,61.864967,39.54,top,-90
C42,42.184967,41.27,top,-90
C43,31.42,25.825,top,90
C44,37.56,22.825,top,-90
C45,41,22.09,top,0
C46,41.14,20.675,top,0
C47,1.11,27.11,top,90
D1,64.47,16.04,top,-90
D2,64.454967,39.74,top,-90
FB1,39.82,23.605,top,0
H1,8.15,45.08,top,180
H2,81.02,4.95,top,0
H3,65.02,30.95,top,0
H4,0,53.71,top,0
H5,0,4.95,top,0
LED1,5.772,32.61,top,180
MCU1,22.02,27.85,top,90
Neopixel1,5.06,25.02,top,0
R1,32.92,38.83,top,180
R4,26.005,18.75,top,0
R6,15.07,39.76,top,180
R7,20.35,46.999966,top,-90
R9,24.02,33.69,top,90
R10,25.15,33.7,top,90
R11,16.07,25.2,top,180
R12,16.07,24.18,top,180
R13,26.404375,3.365,top,0
R14,29.574375,4.185,top,0
R15,31.994375,5.01,top,90
R16,21.644375,10.36,top,-90
R17,24.104375,9.535,top,0
R18,49.09,12.2,top,0
R19,49.09,21.91,top,0
R20,54.46,22.74,top,-90
R21,70.85,16.06,top,0
R22,54.46,11.45,top,90
R23,66.8,20.54,top,-90
R24,64.47,21.09,top,-90
R25,41.63,12.45,top,180
R26,40.8,14.79,top,-90
R27,39.94,8.8,top,-90
R28,37.464529,9.6223,top,0
R29,36.46,15.9,top,-90
R30,49.074967,35.9,top,0
R31,49.074967,45.61,top,0
R32,54.444967,46.44,top,-90
R33,70.834967,39.76,top,0
R34,54.444967,35.15,top,90
R35,66.784967,44.24,top,-90
R36,64.454967,44.79,top,-90
R37,41.614967,36.15,top,180
R38,40.784967,38.49,top,-90
R39,45.39,35.24,top,0
R40,44.5677,32.764529,top,90
R41,38.29,31.76,top,0
R42,16.095,10.16,top,180
R43,10.845,10.15,top,0
R44,2.702,32.62,top,0
Rf1,45.525,13.61,top,180
Rf2,45.509967,37.31,top,180
SW1,15.71,43.41,top,-90
SW2,24.02,46.674966,top,0
TP1,21.045,1.875,top,90
TP2,29.27,10.875,top,90
TP3,10.195,17.675,top,90
TP5,49.72,26.15,top,90
TP6,23.22,1.875,top,90
TP7,58.37,6.625,top,0
TP8,51.97,48.575,top,0
TP9,42.67,8.15,top,0
TP10,47.12,48.6,top,0
TP11,37.795,19.675,top,0
TP12,39.045,28.225,top,0
TP13,48.095,7.5,top,0
TP14,41.495,47.625,top,0
TP15,61.97,6.775,top,0
TP16,59.245,49.925,top,0
TP18,53.245,7.5,top,0
TP19,57.77,46.2,top,90
U1,30.77,33.3,top,180
U2,25.57,21.144,top,90
U3,2.02,15.12,top,90
U4,25.554375,6.36,top,90
U5,45.87,26.209999,top,0
U6,70.43,18.79,top,0
U7,52.190002,17.102249,top,-90
U8,45.1562,18.05225,top,0
U9,58.71,16.319999,top,180
U10,37.65,12.52,top,0
U11,70.414967,42.49,top,0
U12,52.174969,40.802249,top,-90
U13,45.141167,41.75225,top,0
U14,58.694967,40.019999,top,180
U15,41.67,32.95,top,90
USB2,13.52,4.5975,top,0
