Designator,Mid X,Mid Y,Rotation,Layer
BNC1,181.719,-82.45,270.0,top
BNC2,181.703967,-58.75,270.0,top
C1,138.28,-74.2,90.0,top
C10,129.26,-77.07,90.0,bottom
C11,127.61,-79.53,0.0,bottom
C12,130.1,-78.53,0.0,bottom
C13,133.494375,-98.345,180.0,top
C14,111.43,-92.005,90.0,top
C15,126.514375,-98.125,90.0,top
C16,109.1,-84.8,270.0,top
C17,111.4,-87.28,270.0,top
C18,133.494375,-95.725,180.0,top
C19,133.554375,-102.415,180.0,top
C2,128.07,-86.1,90.0,top
C20,130.474375,-94.305,90.0,top
C21,145.57,-78.44,270.0,top
C22,146.92,-78.44,270.0,top
C23,149.88,-81.36,90.0,top
C24,156.17,-82.3,90.0,top
C25,174.41,-82.45,180.0,top
C26,156.18,-92.43,270.0,top
C27,149.85,-84.0,180.0,top
C28,161.98,-90.65,0.0,top
C29,149.55,-89.17,0.0,top
C3,126.37,-71.78,0.0,bottom
C30,142.82,-89.01,90.0,top
C31,165.86,-88.61,270.0,top
C32,146.18,-86.88,270.0,top
C33,135.39,-81.69,270.0,top
C34,156.154967,-58.6,90.0,top
C35,174.394967,-58.75,180.0,top
C36,156.164967,-68.73,270.0,top
C37,149.834967,-60.3,180.0,top
C38,161.964967,-66.95,0.0,top
C39,149.534967,-65.47,0.0,top
C4,127.584438,-80.584438,0.0,bottom
C40,142.73,-70.31,180.0,top
C41,165.844967,-64.91,270.0,top
C42,146.164967,-63.18,270.0,top
C43,135.4,-78.625,90.0,top
C44,141.54,-81.625,270.0,top
C45,144.98,-82.36,0.0,top
C46,145.12,-83.775,0.0,top
C47,105.09,-77.34,90.0,top
C5,121.66,-64.69,180.0,top
C6,126.41,-78.12,0.0,bottom
C7,124.89,-76.34,270.0,bottom
C8,123.12,-77.17,0.0,bottom
C9,126.79,-76.99,0.0,bottom
D1,168.45,-88.41,90.0,top
D2,168.434967,-64.71,90.0,top
FB1,143.8,-80.845,0.0,top
H1,112.13,-59.37,180.0,top
H2,185.0,-99.5,0.0,top
H3,169.0,-73.5,0.0,top
H4,103.98,-50.74,0.0,top
H5,103.98,-99.5,0.0,top
LED1,109.752,-71.84,180.0,top
MCU1,126.0,-76.6,90.0,top
NEOPIXEL1,109.03975,-79.43,0.0,top
R1,136.9,-65.62,180.0,top
R10,129.13,-70.75,90.0,top
R11,120.05,-79.25,180.0,top
R12,120.05,-80.27,180.0,top
R13,130.384375,-101.085,0.0,top
R14,133.554375,-100.265,0.0,top
R15,135.974375,-99.44,90.0,top
R16,125.624375,-94.09,270.0,top
R17,128.084375,-94.915,0.0,top
R18,153.07,-92.25,0.0,top
R19,153.07,-82.54,0.0,top
R20,158.44,-81.71,270.0,top
R21,174.83,-88.39,0.0,top
R22,158.44,-93.0,90.0,top
R23,170.78,-83.91,270.0,top
R24,168.45,-83.36,270.0,top
R25,145.61,-92.0,180.0,top
R26,144.78,-89.66,270.0,top
R27,143.92,-95.65,270.0,top
R28,141.444529,-94.8277,0.0,top
R29,140.44,-88.55,270.0,top
R30,153.054967,-68.55,0.0,top
R31,153.054967,-58.84,0.0,top
R32,158.424967,-58.01,270.0,top
R33,174.814967,-64.69,0.0,top
R34,158.424967,-69.3,90.0,top
R35,170.764967,-60.21,270.0,top
R36,168.434967,-59.66,270.0,top
R37,145.594967,-68.3,180.0,top
R38,144.764967,-65.96,270.0,top
R39,149.37,-69.21,0.0,top
R4,129.985,-85.7,0.0,top
R40,148.5477,-71.685471,90.0,top
R41,142.27,-72.69,0.0,top
R42,120.075,-94.29,180.0,top
R43,114.825,-94.3,0.0,top
R44,106.682,-71.83,0.0,top
R6,119.05,-64.69,180.0,top
R7,124.33,-57.450034,270.0,top
R8,122.96,-79.81,0.0,bottom
R9,128.0,-70.76,90.0,top
RF1,149.505,-90.84,180.0,top
RF2,149.489967,-67.14,180.0,top
SW1,119.69,-61.04,270.0,top
SW2,128.0,-57.775034,0.0,top
TP1,125.025,-102.575,90.0,top
TP10,151.1,-55.85,0.0,top
TP11,141.775,-84.775,0.0,top
TP12,143.025,-76.225,0.0,top
TP13,152.075,-96.95,0.0,top
TP14,145.475,-56.825,0.0,top
TP15,165.95,-97.675,0.0,top
TP16,163.225,-54.525,0.0,top
TP18,157.225,-96.95,0.0,top
TP19,161.75,-58.25,90.0,top
TP2,133.25,-93.575,90.0,top
TP3,114.175,-86.775,90.0,top
TP5,153.7,-78.3,90.0,top
TP6,127.2,-102.575,90.0,top
TP7,162.35,-97.825,0.0,top
TP8,155.95,-55.875,0.0,top
TP9,146.65,-96.3,0.0,top
U1,134.75,-71.15,180.0,top
U10,141.63,-91.93,0.0,top
U11,174.394967,-61.96,0.0,top
U12,156.154969,-63.647751,270.0,top
U13,149.121167,-62.69775,0.0,top
U14,162.674967,-64.430001,180.0,top
U15,145.65,-71.5,90.0,top
U2,129.55,-83.306,90.0,top
U3,106.0,-89.33,270.0,top
U4,129.534375,-98.09,90.0,top
U5,149.85,-78.240001,0.0,top
U6,174.41,-85.66,0.0,top
U7,156.170002,-87.347751,270.0,top
U8,149.1362,-86.39775,0.0,top
U9,162.69,-88.130001,180.0,top
USB2,117.5,-99.99,0.0,top
