Designator,Mid X,Mid Y,Rotation,Layer
+1V65,27.7,44.59,0.0,top
-1V65,36.82,42.54,0.0,top
1_SEL1,58.01,15.53,0.0,top
1_SEL2,42.04,16.23,0.0,top
1_SEL3,48.09,15.24,0.0,top
1_SEL4,53.24,15.24,0.0,top
2_SEL1,51.97,48.58,0.0,top
2_SEL2,47.11,48.6,0.0,top
2_SEL3,41.67,47.08,0.0,top
2_SEL4,57.77,46.2,0.0,top
3V3,3.52,30.25,0.0,top
5V1,25.42,43.39,0.0,top
BNC1,77.739,28.4825,270.0,top
BNC2,77.723967,45.7,270.0,top
BOOT1,12.17,20.39,180.0,top
C1,27.58,19.35,90.0,top
C10,14.68,22.13,90.0,bottom
C11,19.69,28.86,0.0,bottom
C12,12.19,27.08,0.0,bottom
C13,31.375,37.54,90.0,top
C14,4.41975,34.51,90.0,top
C15,31.595,44.52,0.0,top
C16,9.95,35.18,90.0,top
C17,7.58975,34.53,90.0,top
C18,33.995,37.54,90.0,top
C19,27.305,37.48,90.0,top
C2,17.04,34.3,180.0,top
C20,35.415,40.56,0.0,top
C21,34.72635,28.42,270.0,top
C22,36.07635,28.42,270.0,top
C23,41.67635,28.139999,90.0,top
C24,52.19,29.89,90.0,top
C25,70.43,28.4825,180.0,top
C26,52.2,19.76,270.0,top
C27,45.87,28.19,180.0,top
C28,58.0,21.54,0.0,top
C29,45.57,23.02,0.0,top
C3,16.68,31.37,270.0,bottom
C30,38.84,23.18,90.0,top
C31,61.88,23.58,270.0,top
C32,42.2,25.31,270.0,top
C33,27.34,29.92,0.0,top
C34,52.174967,45.85,90.0,top
C35,70.414967,45.7,180.0,top
C36,52.184967,35.72,270.0,top
C37,45.854967,44.15,180.0,top
C38,57.984967,37.5,0.0,top
C39,45.554967,38.98,0.0,top
C4,13.41,28.245,180.0,bottom
C40,38.75,34.14,180.0,top
C41,61.864967,39.54,270.0,top
C42,42.184967,41.27,270.0,top
C43,21.65,31.5,90.0,top
C44,31.94635,28.36,270.0,top
C45,35.08635,26.399999,0.0,top
C46,32.66635,26.059999,180.0,top
C47,7.02,52.38,180.0,top
C48,19.29,34.3,0.0,top
C5,15.841,18.14,270.0,top
C6,14.51,26.59,90.0,bottom
C7,15.98,27.36,90.0,bottom
C8,18.86,27.92,0.0,bottom
C9,17.24,29.47,0.0,bottom
CHANNEL1,31.18,22.94,0.0,top
D1,64.47,23.78,90.0,top
D2,64.454967,39.74,90.0,top
FB1,33.46635,28.439999,270.0,top
H2,81.0201,17.8155,0.0,top
H3,69.91,50.77,0.0,top
H5,24.09,39.9,0.0,top
LED1,21.53,48.368,90.0,top
MCU1,15.31,27.12,270.0,top
NEOPIXEL1,5.91,48.63025,270.0,top
OFF1,39.63,25.85,0.0,top
R1,27.65,24.23,90.0,top
R10,18.29,21.35,270.0,top
R11,9.37,29.77,180.0,top
R12,9.38,30.72,180.0,top
R14,29.455,37.48,270.0,top
R15,30.28,35.06,0.0,top
R16,35.63,45.41,180.0,top
R17,34.805,42.95,270.0,top
R18,49.09,19.94,0.0,top
R19,49.09,29.65,0.0,top
R2,17.51,32.84,270.0,top
R20,54.46,30.48,270.0,top
R21,70.85,22.5425,0.0,top
R22,54.46,19.19,90.0,top
R23,66.8,29.935,90.0,top
R24,64.47,27.5725,270.0,top
R25,41.63,20.19,180.0,top
R26,40.8,22.53,270.0,top
R27,39.94,16.54,270.0,top
R28,37.464529,17.3623,0.0,top
R29,35.61,22.94,0.0,top
R30,49.074967,35.9,0.0,top
R31,49.074967,45.61,0.0,top
R32,54.444967,46.44,270.0,top
R33,70.834967,39.76,0.0,top
R34,54.444967,35.15,90.0,top
R35,66.784967,44.24,270.0,top
R36,64.454967,44.79,270.0,top
R37,41.614967,36.15,180.0,top
R38,40.784967,38.49,270.0,top
R39,45.39,35.24,0.0,top
R40,44.5677,32.764529,90.0,top
R41,38.29,31.76,0.0,top
R42,11.374447,44.51,0.0,top
R43,16.624447,44.52,180.0,top
R44,21.54,51.438,270.0,top
R6,15.841,16.28,270.0,top
R7,15.84,20.065,90.0,top
R8,12.16,30.31,0.0,bottom
R9,17.31,21.35,270.0,top
RESET1,12.191,16.82,0.0,top
RF1,45.525,21.35,180.0,top
RF2,45.509967,37.31,180.0,top
SSR_1,61.84,15.54,0.0,top
SSR_2,59.25,49.93,0.0,top
TP12,24.1,33.17,0.0,top
U1,24.23125,22.4,180.0,top
U10,37.65,20.26,0.0,top
U11,70.414967,42.49,0.0,top
U12,52.174969,40.802249,270.0,top
U13,45.141167,41.75225,0.0,top
U14,58.694967,40.019999,180.0,top
U15,41.67,32.95,90.0,top
U2,5.455,21.925,0.0,top
U3,6.31975,40.71,180.0,top
U4,31.63,41.5,0.0,top
U5,39.00635,28.619999,0.0,top
U6,70.43,25.2725,0.0,top
U7,52.190002,24.842249,270.0,top
U8,45.1562,25.79225,0.0,top
U9,58.71,24.059999,180.0,top
USB2,13.949447,49.603529,180.0,top
Y1,18.16,37.98,180.0,top
